ZONA,DIP DO FATO,NATUREZA,2021,2022,2023
LESTE,4º DIP,HOMICÍDIO,23,16,11
,4º DIP,LATROCÍNIO,1,0,0
,4º DIP,ROUBO DE VEÍCULOS,77,23,32
,4º DIP,FURTO DE VEÍCULOS,41,23,17
,4º DIP,ROUBO EM RESIDÊNCIA,51,13,12
,4º DIP,ROUBO A TRANSEUNTES,682,449,589
,4º DIP,ROUBO A COLETIVO ONIBUS (RENDA),11,2,3
,4º DIP,ROUBO EM ESTABELECIMENTO COMERCIAL,48,24,27
,9º DIP,HOMICÍDIO,23,15,21
,9º DIP,LATROCÍNIO,2,0,0
,9º DIP,ROUBO DE VEÍCULOS,101,58,52
,9º DIP,FURTO DE VEÍCULOS,72,86,51
,9º DIP,ROUBO EM RESIDÊNCIA,55,12,14
,9º DIP,ROUBO A TRANSEUNTES,1199,933,1005
,9º DIP,ROUBO A COLETIVO ONIBUS (RENDA),28,65,50
,9º DIP,ROUBO EM ESTABELECIMENTO COMERCIAL,123,63,44
,11º DIP,HOMICÍDIO,22,14,14
,11º DIP,LATROCÍNIO,0,3,1
,11º DIP,ROUBO DE VEÍCULOS,39,24,29
,11º DIP,FURTO DE VEÍCULOS,28,58,39
,11º DIP,ROUBO EM RESIDÊNCIA,12,20,11
,11º DIP,ROUBO A TRANSEUNTES,544,454,529
,11º DIP,ROUBO A COLETIVO ONIBUS (RENDA),16,51,57
,11º DIP,ROUBO EM ESTABELECIMENTO COMERCIAL,48,23,24
,14º DIP,HOMICÍDIO,42,19,15
,14º DIP,LATROCÍNIO,1,1,0
,14º DIP,ROUBO DE VEÍCULOS,88,55,46
,14º DIP,FURTO DE VEÍCULOS,36,38,33
,14º DIP,ROUBO EM RESIDÊNCIA,57,30,23
,14º DIP,ROUBO A TRANSEUNTES,1087,929,951
,14º DIP,ROUBO A COLETIVO ONIBUS (RENDA),57,55,64
,14º DIP,ROUBO EM ESTABELECIMENTO COMERCIAL,98,62,43